NumEvaluated,QD-Score,MeanNormFitness,MedianNormFitness,MaxNormFitness,CellsOccupied,PercentOccupied
132,1000,40.0,40.0,40,25,100.0
133,1000,40.0,40.0,40,25,100.0
134,1000,40.0,40.0,40,25,100.0
135,1000,40.0,40.0,40,25,100.0
136,1000,40.0,40.0,40,25,100.0
137,1000,40.0,40.0,40,25,100.0
138,1000,40.0,40.0,40,25,100.0
139,1000,40.0,40.0,40,25,100.0
140,1000,40.0,40.0,40,25,100.0
141,1000,40.0,40.0,40,25,100.0
142,1000,40.0,40.0,40,25,100.0
143,1000,40.0,40.0,40,25,100.0
144,1000,40.0,40.0,40,25,100.0
145,1000,40.0,40.0,40,25,100.0
146,1000,40.0,40.0,40,25,100.0
147,1000,40.0,40.0,40,25,100.0
148,1000,40.0,40.0,40,25,100.0
149,1000,40.0,40.0,40,25,100.0
150,1000,40.0,40.0,40,25,100.0
151,1000,40.0,40.0,40,25,100.0
152,1000,40.0,40.0,40,25,100.0
153,1000,40.0,40.0,40,25,100.0
154,1000,40.0,40.0,40,25,100.0
155,1000,40.0,40.0,40,25,100.0
156,1000,40.0,40.0,40,25,100.0
157,1000,40.0,40.0,40,25,100.0
158,1000,40.0,40.0,40,25,100.0
159,1000,40.0,40.0,40,25,100.0
160,1000,40.0,40.0,40,25,100.0
161,1000,40.0,40.0,40,25,100.0
162,1000,40.0,40.0,40,25,100.0
163,1000,40.0,40.0,40,25,100.0
164,1000,40.0,40.0,40,25,100.0
165,1000,40.0,40.0,40,25,100.0
166,1000,40.0,40.0,40,25,100.0
167,1000,40.0,40.0,40,25,100.0
168,1000,40.0,40.0,40,25,100.0
169,1000,40.0,40.0,40,25,100.0
170,1000,40.0,40.0,40,25,100.0
171,1000,40.0,40.0,40,25,100.0
172,1000,40.0,40.0,40,25,100.0
173,1000,40.0,40.0,40,25,100.0
174,1000,40.0,40.0,40,25,100.0
175,1000,40.0,40.0,40,25,100.0
176,1000,40.0,40.0,40,25,100.0
177,1000,40.0,40.0,40,25,100.0
178,1000,40.0,40.0,40,25,100.0
179,1000,40.0,40.0,40,25,100.0
180,1000,40.0,40.0,40,25,100.0
181,1000,40.0,40.0,40,25,100.0
182,1000,40.0,40.0,40,25,100.0
183,1000,40.0,40.0,40,25,100.0
184,1000,40.0,40.0,40,25,100.0
185,1000,40.0,40.0,40,25,100.0
186,1000,40.0,40.0,40,25,100.0
187,1000,40.0,40.0,40,25,100.0
188,1000,40.0,40.0,40,25,100.0
189,1000,40.0,40.0,40,25,100.0
190,1000,40.0,40.0,40,25,100.0
191,1000,40.0,40.0,40,25,100.0
192,1000,40.0,40.0,40,25,100.0
193,1000,40.0,40.0,40,25,100.0
194,1000,40.0,40.0,40,25,100.0
195,1000,40.0,40.0,40,25,100.0
196,1000,40.0,40.0,40,25,100.0
197,1000,40.0,40.0,40,25,100.0
198,1000,40.0,40.0,40,25,100.0
199,1000,40.0,40.0,40,25,100.0
200,1000,40.0,40.0,40,25,100.0
201,1000,40.0,40.0,40,25,100.0
202,1000,40.0,40.0,40,25,100.0
203,1000,40.0,40.0,40,25,100.0
204,1000,40.0,40.0,40,25,100.0
205,1000,40.0,40.0,40,25,100.0
206,1000,40.0,40.0,40,25,100.0
207,1000,40.0,40.0,40,25,100.0
208,1000,40.0,40.0,40,25,100.0
209,1000,40.0,40.0,40,25,100.0
210,1000,40.0,40.0,40,25,100.0
211,1000,40.0,40.0,40,25,100.0
212,1000,40.0,40.0,40,25,100.0
213,1000,40.0,40.0,40,25,100.0
214,1000,40.0,40.0,40,25,100.0
215,1000,40.0,40.0,40,25,100.0
216,1000,40.0,40.0,40,25,100.0
217,1000,40.0,40.0,40,25,100.0
218,1000,40.0,40.0,40,25,100.0
219,1000,40.0,40.0,40,25,100.0
220,1000,40.0,40.0,40,25,100.0
221,1000,40.0,40.0,40,25,100.0
222,1000,40.0,40.0,40,25,100.0
223,1000,40.0,40.0,40,25,100.0
224,1000,40.0,40.0,40,25,100.0
225,1000,40.0,40.0,40,25,100.0
226,1000,40.0,40.0,40,25,100.0
227,1000,40.0,40.0,40,25,100.0
228,1000,40.0,40.0,40,25,100.0
229,1000,40.0,40.0,40,25,100.0
230,1000,40.0,40.0,40,25,100.0
231,1000,40.0,40.0,40,25,100.0
232,1000,40.0,40.0,40,25,100.0
233,1000,40.0,40.0,40,25,100.0
